t,cond,hitObj,x,y,z
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
11.323,0,Collider,6.49,-1.05,-1.80
