t,cond,hitObj,x,y,z
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
11.317,1,Collider,6.49,-1.05,-1.80
