t,cond,hitObj,x,y,z
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
6.462,2,Collider,6.49,-1.05,-1.80
